location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
6a907edd2363bbff07723f3e366f3d33,codec/encoder/core/inc/rc.h,158,16,158,16,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct WelsEnc::TagWelsRc' (32 padding bytes, where 0 is optimal). Optimal fields order: iBitRate, fFrameRate, dPreviousFps, iIntraComplexity, iIntraComplxMean, pGomComplexity, pGomForegroundBlockNum, pCurrentFrameGomSad, pGomCost, iBufferFullnessSkip, pTemporalOverRc, iAvgCost2Bits, iCost2BitsIntra, uiLastTimeStamp, iBufferMaxBRFullness, iRcVaryPercentage, iRcVaryRatio, iInitialQp, iPreviousBitrate, iPreviousGopSize, iBitsPerFrame, iMaxBitsPerFrame, iRemainingBits, iBitsPerMb, iTargetBits, iCurrentBitsLevel, iIdrNum, iIntraMbCount, iRemainingWeights, iFrameDqBits, bEnableGomQp, iAverageFrameQp, iMinFrameQp, iMaxFrameQp, iNumberMbFrame, iNumberMbGom, iGomSize, iSkipFrameNum, iFrameCodedInVGop, iSkipFrameInVGop, iGopNumberInVGop, iGopIndexInVGop, iSkipQpValue, iQpRangeUpperInFrame, iQpRangeLowerInFrame, iMinQp, iMaxQp, iSkipBufferRatio, iQStep, iFrameDeltaQpUpper, iFrameDeltaQpLower, iLastCalculatedQScale, iBufferSizeSkip, iPredFrameBit, iBufferSizePadding, iBufferFullnessPadding, iPaddingSize, iPaddingBitrateStat, iContinualSkipFrames, iBaseQp, iActualBitRate, fLatestFrameRate, bGomRC, bSkipFlag, bNeedShiftWindowCheck, iTlOfFrames, consider reordering the fields or adding explicit padding members",,LOW
daf2798cd7f022081d3dbcca3d5e66c4,codec/encoder/core/inc/encoder_context.h,116,16,116,16,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct WelsEnc::TagWelsEncCtx' (46 padding bytes, where 6 is optimal). Optimal fields order: pSvcParam, pSadCostMb, pMvdCostTable, pMvUnitBlock4x4, pRefIndexBlock4x4, pNonZeroCountBlocks, pIntra4x4PredModeBlocks, ppMbListD, pStrideTab, pFuncList, pSliceThreading, pTaskManage, pReferenceStrategy, pEncPic, pDecPic, pRefPic, pCurDqLayer, ppDqLayerList, ppRefPicListExt, pLtr, pWelsSvcRc, iCheckWindowStartTs, iCheckWindowCurrentTs, pVaa, pVpp, pSpsArray, pSps, pPPSArray, pPps, pSubsetArray, pSubsetSps, pOut, pFrameBs, pDqIdcMap, pPSOVector, pMemAlign, uiStartTimestamp, iLastStatisticsLogTs, uiLastTimestamp, sLogCtx, pDynamicBsBuffer, mutexEncoderError, sSpatialIndexMap, pRefList0, sEncoderStatistics, iMvRange, iMvdCostTableSize, iMvdCostTableStride, eSliceType, eNalType, eNalPriority, iCheckWindowInterval, iCheckWindowIntervalShift, iGlobalQp, iSpsNum, iSubsetSpsNum, iPpsNum, iFrameBsSize, iPosBsBuffer, iMaxSliceCount, iStatisticsLogInterval, iEncoderError, eLastNalPriority, iSliceBufferSize, sPSOVector, iActiveThreadsNum, bCurFrameMarkedAsSceneLtr, iNumRef0, uiDependencyId, uiTemporalId, bNeedPrefixNalFlag, bCheckWindowStatusRefreshFlag, bCheckWindowShiftResetFlag, bDeliveryFlag, bRefOfCurTidIsLtr, sWelsCabacContexts, consider reordering the fields or adding explicit padding members",,LOW
40b1294029fadd66af66905bc554fe5f,codec/common/src/WelsThread.cpp,56,3,56,3,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'CWelsThread::Kill' during destruction bypasses virtual dispatch,CWE-710,MEDIUM
6a907edd2363bbff07723f3e366f3d33,codec/encoder/core/inc/rc.h,158,16,158,16,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct WelsEnc::TagWelsRc' (32 padding bytes, where 0 is optimal). Optimal fields order: iBitRate, fFrameRate, dPreviousFps, iIntraComplexity, iIntraComplxMean, pGomComplexity, pGomForegroundBlockNum, pCurrentFrameGomSad, pGomCost, iBufferFullnessSkip, pTemporalOverRc, iAvgCost2Bits, iCost2BitsIntra, uiLastTimeStamp, iBufferMaxBRFullness, iRcVaryPercentage, iRcVaryRatio, iInitialQp, iPreviousBitrate, iPreviousGopSize, iBitsPerFrame, iMaxBitsPerFrame, iRemainingBits, iBitsPerMb, iTargetBits, iCurrentBitsLevel, iIdrNum, iIntraMbCount, iRemainingWeights, iFrameDqBits, bEnableGomQp, iAverageFrameQp, iMinFrameQp, iMaxFrameQp, iNumberMbFrame, iNumberMbGom, iGomSize, iSkipFrameNum, iFrameCodedInVGop, iSkipFrameInVGop, iGopNumberInVGop, iGopIndexInVGop, iSkipQpValue, iQpRangeUpperInFrame, iQpRangeLowerInFrame, iMinQp, iMaxQp, iSkipBufferRatio, iQStep, iFrameDeltaQpUpper, iFrameDeltaQpLower, iLastCalculatedQScale, iBufferSizeSkip, iPredFrameBit, iBufferSizePadding, iBufferFullnessPadding, iPaddingSize, iPaddingBitrateStat, iContinualSkipFrames, iBaseQp, iActualBitRate, fLatestFrameRate, bGomRC, bSkipFlag, bNeedShiftWindowCheck, iTlOfFrames, consider reordering the fields or adding explicit padding members",,LOW
daf2798cd7f022081d3dbcca3d5e66c4,codec/encoder/core/inc/encoder_context.h,116,16,116,16,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct WelsEnc::TagWelsEncCtx' (46 padding bytes, where 6 is optimal). Optimal fields order: pSvcParam, pSadCostMb, pMvdCostTable, pMvUnitBlock4x4, pRefIndexBlock4x4, pNonZeroCountBlocks, pIntra4x4PredModeBlocks, ppMbListD, pStrideTab, pFuncList, pSliceThreading, pTaskManage, pReferenceStrategy, pEncPic, pDecPic, pRefPic, pCurDqLayer, ppDqLayerList, ppRefPicListExt, pLtr, pWelsSvcRc, iCheckWindowStartTs, iCheckWindowCurrentTs, pVaa, pVpp, pSpsArray, pSps, pPPSArray, pPps, pSubsetArray, pSubsetSps, pOut, pFrameBs, pDqIdcMap, pPSOVector, pMemAlign, uiStartTimestamp, iLastStatisticsLogTs, uiLastTimestamp, sLogCtx, pDynamicBsBuffer, mutexEncoderError, sSpatialIndexMap, pRefList0, sEncoderStatistics, iMvRange, iMvdCostTableSize, iMvdCostTableStride, eSliceType, eNalType, eNalPriority, iCheckWindowInterval, iCheckWindowIntervalShift, iGlobalQp, iSpsNum, iSubsetSpsNum, iPpsNum, iFrameBsSize, iPosBsBuffer, iMaxSliceCount, iStatisticsLogInterval, iEncoderError, eLastNalPriority, iSliceBufferSize, sPSOVector, iActiveThreadsNum, bCurFrameMarkedAsSceneLtr, iNumRef0, uiDependencyId, uiTemporalId, bNeedPrefixNalFlag, bCheckWindowStatusRefreshFlag, bCheckWindowShiftResetFlag, bDeliveryFlag, bRefOfCurTidIsLtr, sWelsCabacContexts, consider reordering the fields or adding explicit padding members",,LOW
0c87005050cdbda5eb7ffe2f8f90fa4a,codec/common/inc/golomb_common.h,103,3,103,3,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,"The result of the left shift is undefined due to shifting by '32', which is greater or equal to the width of type 'uint32_t'","CWE-703,CWE-707",HIGH
54ab2ed1c3d44f06ba1c084b2558bc22,codec/decoder/core/inc/decoder_context.h,304,16,304,16,optin.performance.Padding,optin.performance.Padding,"Excessive padding in 'struct WelsDec::TagWelsDecoderContext' (66 padding bytes, where 2 is optimal). Optimal fields order: pArgDec, pParam, pFmo, pDec, pTempDec, pVlcTable, pSliceHeader, pPicBuff, pAccessUnitList, pSps, pPps, pCurDqLayer, pDqLayersList, pNalCur, pParserBsInfo, pIdctResAddPredFunc, pIdctFourResAddPredFunc, pIdctResAddPredFunc8x8, pFillInfoCacheIntraNxNFunc, pMapNxNNeighToSampleFunc, pMap16x16NeighToSampleFunc, pTraceHandle, pLastDecPicInfo, pCabacDecEngine, dDecTime, pDecoderStatistics, uiTimeStamp, pMemAlign, pThreadCtx, pLastThreadCtx, pCsDecoder, pPictInfoList, pPictReoderingStatus, sCopyFunc, sLogCtx, sExpandPicFunc, sBlockFunc, sRawData, sSavedData, sBs, sMcFunc, pDequant_coeff4x4, pDequant_coeff8x8, pGetI16x16LumaPredFunc, pGetIChromaPredFunc, sDeblockingFunc, pGetI4x4LumaPredFunc, pGetI8x8LumaPredFunc, pECRefPic, sMb, sRefPic, sTmpRefPic, sFmoList, sSpsPpsCtx, uiCpuFlag, eVideoType, iImgWidthInPixel, iImgHeightInPixel, iLastImgWidthInPixel, iLastImgHeightInPixel, eSliceType, iFrameNum, iErrorCode, iActiveFmoNum, iMaxBsBufferSizeInByte, iPicQueueNumber, iPicWidthReq, iPicHeightReq, iTotalNumMbRec, iFrameNumOfAuMarkedLtr, iNalNum, iMaxNalNum, iCurSeqIntervalTargetDependId, iCurSeqIntervalMaxPicWidth, iCurSeqIntervalMaxPicHeight, iFeedbackVclNalInAu, iFeedbackTidInAu, iFeedbackNalRefIdc, iIgnoredErrorInfoPacketCount, iMbEcedNum, iMbEcedPropNum, iMbNum, uiDecodingTimeStamp, iDequantCoeffPpsid, sCurNalHead, sFrameCrop, iDecBlockOffsetArray, iECMVs, sSpsBsInfo, sSubsetSpsBsInfo, sPpsBsInfo, uiCurIdrPicId, lastReadyHeightOffset, pDequant_coeff_buffer4x4, pDequant_coeff_buffer8x8, bHaveGotMemory, bFreezeOutput, bUsedAsRef, bHasNewSps, uiNalRefIdc, uiTargetDqId, bEndOfStreamFlag, bInstantDecFlag, bInitialDqLayersMem, bOnlyOneLayerInCurAuFlag, bReferenceLostAtT0Flag, bParamSetsLostFlag, bCurAuContainLtrMarkSeFlag, bNewSeqBegin, bNextNewSeqBegin, bFramePending, bFrameFinish, bAuReadyFlag, bPrintFrameErrorTraceFlag, bCabacInited, bMbRefConcealed, bRPLRError, bDequantCoeff4x4Init, bUseScalingList, pCabacCtx, sWelsCabacContexts, consider reordering the fields or adding explicit padding members",,LOW
8db561d913bbd0c471828667937154bf,codec/decoder/core/src/decoder.cpp,507,90,507,90,core.NullDereference,core.NullDereference,Access to field 'iCapacity' results in a dereference of a null pointer (loaded from field 'pPicBuff'),"CWE-703,CWE-710",HIGH
794b56bbe5a7611b2e1e1b26a67a346d,codec/decoder/core/src/decoder.cpp,836,13,836,13,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'iRet' is never read,CWE-710,LOW
6b38e797d983c5ab6d31bffefb41fe09,codec/decoder/core/src/decoder.cpp,898,7,898,7,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'iRet' is never read,CWE-710,LOW
4835e75a53b8dd46eb7a5d15a16c3520,codec/encoder/plus/src/welsEncoderExt.cpp,156,3,156,3,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'CWelsH264SVCEncoder::Uninitialize' during destruction bypasses virtual dispatch,CWE-710,MEDIUM
eb402a7a771a4f079ec977d0cc548e72,codec/encoder/plus/src/welsEncoderExt.cpp,588,18,588,18,deadcode.DeadStores,deadcode.DeadStores,Value stored to 'pLayerInfo' during its initialization is never read,CWE-710,LOW
9a4d151007f838093b202561adf21191,codec/encoder/core/src/wels_task_management.cpp,93,3,93,3,optin.cplusplus.VirtualCall,optin.cplusplus.VirtualCall,Call to virtual method 'CWelsTaskManageBase::Uninit' during destruction bypasses virtual dispatch,CWE-710,MEDIUM
3069dbbc4bbad11254a121686be8fc00,codec/processing/src/adaptivequantization/AdaptiveQuantization.cpp,192,93,192,93,core.UndefinedBinaryOperatorResult,core.UndefinedBinaryOperatorResult,The result of the '/' expression is undefined,"CWE-703,CWE-707",HIGH
0f5e53af4784769f645077bfda74002b,codec/encoder/core/src/ref_list_mgr_svc.cpp,317,22,317,22,core.NullDereference,core.NullDereference,Access to field 'iLongTermPicNum' results in a dereference of a null pointer (loaded from field 'pDecPic'),"CWE-703,CWE-710",HIGH
